bench;vm;suite;extra_args;cores;input_sizes;variable_values;;;arithmetic mean;geometric mean;median;stdDev;#samples;min;max;Conf. Interval Low;Conf. Interval High;Conf. Interval Size Abs.;Conf.IntervalSize/Mean
benchmarks/nsievebits.lua;luajit;tilera;5;1;1;None;;total;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
benchmarks/sieve.lua;lua-x86;tilera;200;1;1;None;pass2;total;200,000000;200,000000;200,000000;0,000000;2,000000;200,000000;200,000000;200,000000;200,000000;0,000000;0,000000
benchmarks/fannkuchredux.lua;lua-x86;tilera;9;1;1;None;pass2;total;670,000000;669,950245;670,000000;8,164966;3,000000;660,000000;680,000000;656,235056;683,764944;27,529888;0,041089
benchmarks/binarytrees.lua-2.lua;luajit;tilera;10;1;1;None;pass2;total;3023,333333;3022,996602;3050,000000;44,969125;3,000000;2960,000000;3060,000000;2947,521933;3099,144734;151,622801;0,050151
benchmarks/binarytrees.lua-3.lua;luajit;tilera;10;1;1;None;;total;5960,000000;5959,759104;5970,000000;53,541261;3,000000;5890,000000;6020,000000;5869,737226;6050,262774;180,525549;0,030290
benchmarks/process.lua;lua;tilera;100;1;1;None;pass2;total;0,000000;0,000000;0,000000;0,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;-nan
benchmarks/prodcons.lua;lua-x86;tilera;500000;1;1;None;pass1;total;263,333333;263,291489;260,000000;4,714045;3,000000;260,000000;270,000000;255,386139;271,280527;15,894388;0,060358
benchmarks/sieve.lua-2.lua;lua;tilera;200;1;1;None;pass1;total;7310,000000;7310,000000;7310,000000;0,000000;3,000000;7310,000000;7310,000000;7310,000000;7310,000000;0,000000;0,000000
benchmarks/nestedloop.lua;luajit;tilera;14;1;1;None;pass1;total;3630,000000;3630,000000;3630,000000;0,000000;2,000000;3630,000000;3630,000000;3630,000000;3630,000000;0,000000;0,000000
benchmarks/nbody.lua;lua;tilera;30000;1;1;None;pass2;total;5656,666667;5656,641158;5650,000000;16,996732;3,000000;5640,000000;5680,000000;5628,012651;5685,320683;57,308032;0,010131
benchmarks/hello.lua;lua-x86;tilera;0,000000;1;1;None;;total;0,000000;0,000000;0,000000;0,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;-nan
benchmarks/strcat.lua;lua-x86;tilera;800000;1;1;None;pass2;total;280,000000;279,880902;280,000000;8,164966;3,000000;270,000000;290,000000;266,235056;293,764944;27,529888;0,098321
benchmarks/ary.lua;luajit;tilera;10000;1;1;None;pass2;total;13900,000000;13899,996403;13900,000000;10,000000;2,000000;13890,000000;13910,000000;13855,355035;13944,644965;89,289930;0,006424
benchmarks/fannkuch.lua-2.lua;lua;tilera;9;1;1;None;;total;21326,666667;21326,647387;21330,000000;28,674418;3,000000;21290,000000;21360,000000;21278,325772;21375,007561;96,681790;0,004533
benchmarks/spectralnorm.lua;lua-x86;tilera;220;1;1;None;;total;450,000000;450,000000;450,000000;0,000000;2,000000;450,000000;450,000000;450,000000;450,000000;0,000000;0,000000
benchmarks/nsieve.lua-3.lua;lua;tilera;6;1;1;None;;total;10345,000000;10344,998792;10345,000000;5,000000;2,000000;10340,000000;10350,000000;10322,677517;10367,322483;44,644965;0,004316
benchmarks/fibo.lua;lua-x86;tilera;30;1;1;None;;total;420,000000;419,765553;410,000000;14,142136;3,000000;410,000000;440,000000;396,158418;443,841582;47,683165;0,113531
benchmarks/nbody.lua-2.lua;luajit;tilera;30000;1;1;None;pass2;total;4850,000000;4850,000000;4850,000000;0,000000;2,000000;4850,000000;4850,000000;4850,000000;4850,000000;0,000000;0,000000
benchmarks/nbody.lua-2.lua;lua;tilera;30000;1;1;None;pass1;total;5370,000000;5370,000000;5370,000000;0,000000;2,000000;5370,000000;5370,000000;5370,000000;5370,000000;0,000000;0,000000
benchmarks/fasta.lua;luajit;tilera;200000;1;1;None;pass1;total;10725,000000;10724,998834;10725,000000;5,000000;2,000000;10720,000000;10730,000000;10702,677517;10747,322483;44,644965;0,004163
benchmarks/sieve.lua-2.lua;luajit;tilera;200;1;1;None;pass1;total;6105,000000;6104,997952;6105,000000;5,000000;2,000000;6100,000000;6110,000000;6082,677517;6127,322483;44,644965;0,007313
benchmarks/hello.lua;luajit;tilera;0,000000;1;1;None;pass1;total;20,000000;20,000000;20,000000;0,000000;2,000000;20,000000;20,000000;20,000000;20,000000;0,000000;0,000000
benchmarks/strcat.lua;luajit;tilera;800000;1;1;None;pass1;total;3356,666667;3356,643473;3360,000000;12,472191;3,000000;3340,000000;3370,000000;3335,640367;3377,692966;42,052599;0,012528
benchmarks/hash.lua;lua;tilera;150000;1;1;None;;total;10100,000000;10099,976917;10090,000000;21,602469;3,000000;10080,000000;10130,000000;10063,581381;10136,418619;72,837237;0,007212
benchmarks/takfp.lua;luajit;tilera;8;1;1;None;pass2;total;1550,000000;1550,000000;1550,000000;0,000000;2,000000;1550,000000;1550,000000;1550,000000;1550,000000;0,000000;0,000000
benchmarks/nbody.lua-2.lua;lua;tilera;30000;1;1;None;pass2;total;5360,000000;5360,000000;5360,000000;0,000000;2,000000;5360,000000;5360,000000;5360,000000;5360,000000;0,000000;0,000000
benchmarks/random.lua;lua-x86;tilera;2000000;1;1;None;pass2;total;253,333333;253,289851;250,000000;4,714045;3,000000;250,000000;260,000000;245,386139;261,280527;15,894388;0,062741
benchmarks/mandelbrot.lua;luajit;tilera;400;1;1;None;pass2;total;7600,000000;7600,000000;7600,000000;0,000000;2,000000;7600,000000;7600,000000;7600,000000;7600,000000;0,000000;0,000000
benchmarks/matrix.lua;lua-x86;tilera;100;1;1;None;;total;450,000000;450,000000;450,000000;0,000000;2,000000;450,000000;450,000000;450,000000;450,000000;0,000000;0,000000
