#!/usr/local/bin/rebench -d -n rebench.conf
[2012-07-10 16:14:47.420473]	benchmarks/fannkuch.lua-2.lua, vm:luajit, suite:tilera, args:'9'	1	1	None	pass1	total = 8220.000000
[2012-07-10 16:14:47.420567]	benchmarks/fannkuch.lua-2.lua, vm:luajit, suite:tilera, args:'9'	1	1	None	pass2	total = 8180.000000
[2012-07-10 16:15:06.050164]	benchmarks/fannkuchredux.lua, vm:luajit, suite:tilera, args:'9'	1	1	None	total = 18180.000000
[2012-07-10 16:15:06.050336]	benchmarks/fannkuchredux.lua, vm:luajit, suite:tilera, args:'9'	1	1	None	pass1	total = 9130.000000
[2012-07-10 16:15:06.050432]	benchmarks/fannkuchredux.lua, vm:luajit, suite:tilera, args:'9'	1	1	None	pass2	total = 9050.000000
[2012-07-10 16:15:24.710190]	benchmarks/fannkuchredux.lua, vm:luajit, suite:tilera, args:'9'	1	1	None	total = 18150.000000
[2012-07-10 16:15:24.710357]	benchmarks/fannkuchredux.lua, vm:luajit, suite:tilera, args:'9'	1	1	None	pass1	total = 9130.000000
[2012-07-10 16:15:24.710448]	benchmarks/fannkuchredux.lua, vm:luajit, suite:tilera, args:'9'	1	1	None	pass2	total = 9020.000000
[2012-07-10 16:15:43.320411]	benchmarks/fannkuchredux.lua, vm:luajit, suite:tilera, args:'9'	1	1	None	total = 18160.000000
[2012-07-10 16:15:43.320581]	benchmarks/fannkuchredux.lua, vm:luajit, suite:tilera, args:'9'	1	1	None	pass1	total = 9140.000000
[2012-07-10 16:15:43.320693]	benchmarks/fannkuchredux.lua, vm:luajit, suite:tilera, args:'9'	1	1	None	pass2	total = 9020.000000
[2012-07-10 16:16:17.784445]	benchmarks/fasta.lua, vm:luajit, suite:tilera, args:'200000'	1	1	None	total = 21250.000000
[2012-07-10 16:16:17.784632]	benchmarks/fasta.lua, vm:luajit, suite:tilera, args:'200000'	1	1	None	pass1	total = 10720.000000
[2012-07-10 16:16:17.784694]	benchmarks/fasta.lua, vm:luajit, suite:tilera, args:'200000'	1	1	None	pass2	total = 10530.000000
[2012-07-10 16:16:54.716403]	benchmarks/fasta.lua, vm:luajit, suite:tilera, args:'200000'	1	1	None	total = 21250.000000
[2012-07-10 16:16:54.716583]	benchmarks/fasta.lua, vm:luajit, suite:tilera, args:'200000'	1	1	None	pass1	total = 10730.000000
[2012-07-10 16:16:54.716650]	benchmarks/fasta.lua, vm:luajit, suite:tilera, args:'200000'	1	1	None	pass2	total = 10520.000000
[2012-07-10 16:17:02.040987]	benchmarks/fibo.lua, vm:luajit, suite:tilera, args:'30'	1	1	None	total = 6880.000000
[2012-07-10 16:17:02.041135]	benchmarks/fibo.lua, vm:luajit, suite:tilera, args:'30'	1	1	None	pass1	total = 3450.000000
[2012-07-10 16:17:02.041217]	benchmarks/fibo.lua, vm:luajit, suite:tilera, args:'30'	1	1	None	pass2	total = 3430.000000
[2012-07-10 16:17:09.371108]	benchmarks/fibo.lua, vm:luajit, suite:tilera, args:'30'	1	1	None	total = 6870.000000
[2012-07-10 16:17:09.371275]	benchmarks/fibo.lua, vm:luajit, suite:tilera, args:'30'	1	1	None	pass1	total = 3450.000000
[2012-07-10 16:17:09.371370]	benchmarks/fibo.lua, vm:luajit, suite:tilera, args:'30'	1	1	None	pass2	total = 3420.000000
[2012-07-10 16:17:16.701070]	benchmarks/fibo.lua, vm:luajit, suite:tilera, args:'30'	1	1	None	total = 6870.000000
[2012-07-10 16:17:16.701230]	benchmarks/fibo.lua, vm:luajit, suite:tilera, args:'30'	1	1	None	pass1	total = 3450.000000
[2012-07-10 16:17:16.701326]	benchmarks/fibo.lua, vm:luajit, suite:tilera, args:'30'	1	1	None	pass2	total = 3420.000000
[2012-07-10 16:18:35.781934]	benchmarks/harmonic.lua, vm:luajit, suite:tilera, args:'20000000'	1	1	None	total = 78620.000000
[2012-07-10 16:18:35.782106]	benchmarks/harmonic.lua, vm:luajit, suite:tilera, args:'20000000'	1	1	None	pass1	total = 39320.000000
[2012-07-10 16:18:35.782198]	benchmarks/harmonic.lua, vm:luajit, suite:tilera, args:'20000000'	1	1	None	pass2	total = 39300.000000
[2012-07-10 16:19:54.852610]	benchmarks/harmonic.lua, vm:luajit, suite:tilera, args:'20000000'	1	1	None	total = 78620.000000
[2012-07-10 16:19:54.852781]	benchmarks/harmonic.lua, vm:luajit, suite:tilera, args:'20000000'	1	1	None	pass1	total = 39320.000000
[2012-07-10 16:19:54.852880]	benchmarks/harmonic.lua, vm:luajit, suite:tilera, args:'20000000'	1	1	None	pass2	total = 39300.000000
[2012-07-10 16:20:03.642955]	benchmarks/hash2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	total = 8260.000000
[2012-07-10 16:20:03.643126]	benchmarks/hash2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass1	total = 4110.000000
[2012-07-10 16:20:03.643221]	benchmarks/hash2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass2	total = 4110.000000
[2012-07-10 16:20:12.392714]	benchmarks/hash2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	total = 8280.000000
[2012-07-10 16:20:12.392890]	benchmarks/hash2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass1	total = 4110.000000
[2012-07-10 16:20:12.392987]	benchmarks/hash2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass2	total = 4120.000000
[2012-07-10 16:20:21.122814]	benchmarks/hash2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	total = 8250.000000
[2012-07-10 16:20:21.122981]	benchmarks/hash2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass1	total = 4090.000000
[2012-07-10 16:20:21.123075]	benchmarks/hash2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass2	total = 4120.000000
[2012-07-10 16:20:32.412868]	benchmarks/hash.lua, vm:luajit, suite:tilera, args:'150000'	1	1	None	total = 10520.000000
[2012-07-10 16:20:32.413038]	benchmarks/hash.lua, vm:luajit, suite:tilera, args:'150000'	1	1	None	pass1	total = 5250.000000
[2012-07-10 16:20:32.413129]	benchmarks/hash.lua, vm:luajit, suite:tilera, args:'150000'	1	1	None	pass2	total = 4250.000000
[2012-07-10 16:20:43.672978]	benchmarks/hash.lua, vm:luajit, suite:tilera, args:'150000'	1	1	None	total = 10480.000000
[2012-07-10 16:20:43.673142]	benchmarks/hash.lua, vm:luajit, suite:tilera, args:'150000'	1	1	None	pass1	total = 5240.000000
[2012-07-10 16:20:43.673240]	benchmarks/hash.lua, vm:luajit, suite:tilera, args:'150000'	1	1	None	pass2	total = 4230.000000
[2012-07-10 16:20:55.063097]	benchmarks/hash.lua, vm:luajit, suite:tilera, args:'150000'	1	1	None	total = 10550.000000
[2012-07-10 16:20:55.063267]	benchmarks/hash.lua, vm:luajit, suite:tilera, args:'150000'	1	1	None	pass1	total = 5280.000000
[2012-07-10 16:20:55.063362]	benchmarks/hash.lua, vm:luajit, suite:tilera, args:'150000'	1	1	None	pass2	total = 4250.000000
[2012-07-10 16:20:55.602940]	benchmarks/hello.lua, vm:luajit, suite:tilera, args:''	1	1	None	total = 20.000000
[2012-07-10 16:20:55.603102]	benchmarks/hello.lua, vm:luajit, suite:tilera, args:''	1	1	None	pass1	total = 20.000000
[2012-07-10 16:20:55.603192]	benchmarks/hello.lua, vm:luajit, suite:tilera, args:''	1	1	None	pass2	total = 0.000000
[2012-07-10 16:20:56.082960]	benchmarks/hello.lua, vm:luajit, suite:tilera, args:''	1	1	None	total = 20.000000
[2012-07-10 16:20:56.083124]	benchmarks/hello.lua, vm:luajit, suite:tilera, args:''	1	1	None	pass1	total = 20.000000
[2012-07-10 16:20:56.083217]	benchmarks/hello.lua, vm:luajit, suite:tilera, args:''	1	1	None	pass2	total = 0.000000
[2012-07-10 16:21:05.133396]	benchmarks/lists.lua, vm:luajit, suite:tilera, args:'25'	1	1	None	total = 8620.000000
[2012-07-10 16:21:05.133563]	benchmarks/lists.lua, vm:luajit, suite:tilera, args:'25'	1	1	None	pass1	total = 4330.000000
[2012-07-10 16:21:05.133656]	benchmarks/lists.lua, vm:luajit, suite:tilera, args:'25'	1	1	None	pass2	total = 4290.000000
[2012-07-10 16:21:14.193225]	benchmarks/lists.lua, vm:luajit, suite:tilera, args:'25'	1	1	None	total = 8620.000000
[2012-07-10 16:21:14.193397]	benchmarks/lists.lua, vm:luajit, suite:tilera, args:'25'	1	1	None	pass1	total = 4330.000000
[2012-07-10 16:21:14.193491]	benchmarks/lists.lua, vm:luajit, suite:tilera, args:'25'	1	1	None	pass2	total = 4290.000000
[2012-07-10 16:21:29.873319]	benchmarks/mandelbrot.lua, vm:luajit, suite:tilera, args:'400'	1	1	None	total = 15230.000000
[2012-07-10 16:21:29.873491]	benchmarks/mandelbrot.lua, vm:luajit, suite:tilera, args:'400'	1	1	None	pass1	total = 7620.000000
